lemma	inflected	label	hits
会う	会われませんでした	V;PST;PFV;ELEV;POL;FOREG;NEG	1,460
会う	会わせる	V;PRS;IPFV;CAUS	576,000
会う	会わせない	V;PRS;IPFV;CAUS;NEG	166,000
会う	会わせます	V;PRS;IPFV;CAUS;POL;FOREG	178,000
会う	会わせません	V;PRS;IPFV;CAUS;POL;FOREG;NEG	11,600
会う	会わせた	V;PST;PFV;CAUS	413,000
会う	会わせなかった	V;PST;PFV;CAUS;NEG	52,200
会う	会わせました	V;PST;PFV;CAUS;POL;FOREG	23,700
会う	会わせませんでした	V;PST;PFV;CAUS;POL;FOREG;NEG	19,000
会う	会わす	V;PRS;IPFV;CAUS	69,700
会う	会わさない	V;PRS;IPFV;CAUS;NEG	5,660
会う	会わします	V;PRS;IPFV;CAUS;POL;FOREG	1,330
会う	会わしません	V;PRS;IPFV;CAUS;POL;FOREG;NEG	1,540
会う	会わした	V;PST;PFV;CAUS	11,600
会う	会わさなかった	V;PST;PFV;CAUS;NEG	464
会う	会わしました	V;PST;PFV;CAUS;POL;FOREG	3,670
会う	会わしませんでした	V;PST;PFV;CAUS;POL;FOREG;NEG	10
会う	会わせられる	V;PRS;IPFV;CAUS;PASS	103,000
会う	会わせられない	V;PRS;IPFV;CAUS;PASS;NEG	221,000
会う	会わせられます	V;PRS;IPFV;CAUS;PASS;POL;FOREG	11,100
会う	会わせられません	V;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	34,500
会う	会わせられた	V;PST;PFV;CAUS;PASS	106,000
会う	会わせられなかった	V;PST;PFV;CAUS;PASS;NEG	21,000
会う	会わせられました	V;PST;PFV;CAUS;PASS;POL;FOREG	4,030
会う	会わせられませんでした	V;PST;PFV;CAUS;PASS;POL;FOREG;NEG	2,390
会う	会わされる	V;PRS;IPFV;CAUS;PASS	54,600
会う	会わされない	V;PRS;IPFV;CAUS;PASS;NEG	386
会う	会わされます	V;PRS;IPFV;CAUS;PASS;POL;FOREG	19,500
会う	会わされません	V;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	5
会う	会わされた	V;PST;PFV;CAUS;PASS	58,400
会う	会わされなかった	V;PST;PFV;CAUS;PASS;NEG	5
会う	会わされました	V;PST;PFV;CAUS;PASS;POL;FOREG	19,400
会う	会わされませんでした	V;PST;PFV;CAUS;PASS;POL;FOREG;NEG	0
会う	お会いになる	V;FORM;ELEV;PRS;IPFV	809,000
会う	お会いにならない	V;FORM;ELEV;PRS;IPFV;NEG	134,000
会う	お会いになります	V;FORM;ELEV;PRS;IPFV;POL;FOREG	430,000
会う	お会いになりません	V;FORM;ELEV;PRS;IPFV;POL;FOREG;NEG	106,000
会う	お会いになった	V;FORM;ELEV;PST;PFV	502,000
会う	お会いにならなかった	V;FORM;ELEV;PST;PFV;NEG	23,000
会う	お会いになりました	V;FORM;ELEV;PST;PFV;POL;FOREG	449,000
会う	お会いになりませんでした	V;FORM;ELEV;PST;PFV;POL;FOREG;NEG	80,900
会う	お会いする	V;FORM;HUMB;PRS;IPFV	6,220,000
会う	お会いしない	V;FORM;HUMB;PRS;IPFV;NEG	41,100
会う	お会いします	V;FORM;HUMB;PRS;IPFV;POL;FOREG	5,970,000
会う	お会いしません	V;FORM;HUMB;PRS;IPFV;POL;FOREG;NEG	342,000
会う	お会いした	V;FORM;HUMB;PST;PFV	10,200,000
会う	お会いしなかった	V;FORM;HUMB;PST;PFV;NEG	92,000
会う	お会いしました	V;FORM;HUMB;PST;PFV;POL;FOREG	7,580,000
会う	お会いしませんでした	V;FORM;HUMB;PST;PFV;POL;FOREG;NEG	55,200
会う	会わせていただく	V;FORM;HUMB;PRS;IPFV;PERM	52,500
会う	会わせていただかない	V;FORM;HUMB;PRS;IPFV;NEG;PERM	9
会う	会わせていただきます	V;FORM;HUMB;PRS;IPFV;POL;FOREG;PERM	87,500
会う	会わせていただきません	V;FORM;HUMB;PRS;IPFV;POL;FOREG;NEG;PERM	8
会う	会わせていただいた	V;FORM;HUMB;PST;PFV;PERM	66,100
会う	会わせていただかなかった	V;FORM;HUMB;PST;PFV;NEG;PERM	0
会う	会わせていただきました	V;FORM;HUMB;PST;PFV;POL;FOREG;PERM	104,000
会う	会わせていただきませんでした	V;FORM;HUMB;PST;PFV;POL;FOREG;NEG;PERM	0
会う	お目にかかる	V;FORM;HUMB;PRS;IPFV	1,540,000
会う	お目にかからない	V;FORM;HUMB;PRS;IPFV;NEG	818,000
会う	お目にかからないです	V;FORM;HUMB;PRS;IPFV;POL;NEG;COL	11,000
会う	お目にかかります	V;FORM;HUMB;PRS;IPFV;POL;FOREG	184,000
会う	お目にかかりません	V;FORM;HUMB;PRS;IPFV;POL;FOREG;NEG	137,000
会う	お目にかかるだろう	V;FORM;HUMB;PRS;IPFV;PROSP	430
会う	お目にかからないだろう	V;FORM;HUMB;PRS;IPFV;PROSP;NEG	674
会う	お目にかかるでしょう	V;FORM;HUMB;PRS;IPFV;PROSP;POL	654
会う	お目にかからないでしょう	V;FORM;HUMB;PRS;IPFV;PROSP;POL;NEG	12,800
会う	お目にかかった	V;FORM;HUMB;PST;PFV	402,000
会う	お目にかからなかった	V;FORM;HUMB;PST;PFV;NEG	12,000
会う	お目にかかりました	V;FORM;HUMB;PST;PFV;POL;FOREG	105,000
会う	お目にかかりませんでした	V;FORM;HUMB;PST;PFV;POL;FOREG;NEG	15,000
会う	お目にかかっただろう	V;FORM;HUMB;PST;PFV;PROSP	76
会う	お目にかからなかっただろう	V;FORM;HUMB;PST;PFV;PROSP;NEG	6
会う	お目にかかったでしょう	V;FORM;HUMB;PST;PFV;PROSP;POL	10
会う	お目にかからなかったでしょう	V;FORM;HUMB;PST;PFV;PROSP;POL;NEG	2
会う	お目にかかろう	V;FORM;HUMB;INTEN	7,150
会う	お目にかかりましょう	V;FORM;HUMB;INTEN;POL;FOREG	25,900
会う	お目にかかりたい	V;FORM;HUMB;PRS;IPFV;OPT;1	117,000
会う	お目にかかりたくない	V;FORM;HUMB;PRS;IPFV;OPT;NEG;1	3,560
会う	お目にかかりたいです	V;FORM;HUMB;PRS;IPFV;OPT;POL;1	28,700
会う	お目にかかりたくないです	V;FORM;HUMB;PRS;IPFV;OPT;POL;NEG;1	2,120
会う	お目にかかりたかった	V;FORM;HUMB;PST;PFV;OPT;1	9,380
会う	お目にかかりたくなかった	V;FORM;HUMB;PST;PFV;OPT;NEG;1	1,460
会う	お目にかかりたかったです	V;FORM;HUMB;PST;PFV;OPT;POL;1	4,610
会う	お目にかかりたくなかったです	V;FORM;HUMB;PST;PFV;OPT;POL;NEG;1	1
会う	お目にかかりたがる	V;FORM;HUMB;PRS;IPFV;OPT;3	1
会う	お目にかかりたがらない	V;FORM;HUMB;PRS;IPFV;OPT;NEG;3	0
会う	お目にかかりたがります	V;FORM;HUMB;PRS;IPFV;OPT;POL;FOREG;3	0
会う	お目にかかりたがりません	V;FORM;HUMB;PRS;IPFV;OPT;POL;FOREG;NEG;3	0
会う	お目にかかりたがった	V;FORM;HUMB;PST;PFV;OPT;3	1
会う	お目にかかりたがらなかった	V;FORM;HUMB;PST;PFV;OPT;NEG;3	0
会う	お目にかかりたがりました	V;FORM;HUMB;PST;PFV;OPT;POL;FOREG;3	0
会う	お目にかかりたがりませんでした	V;FORM;HUMB;PST;PFV;OPT;POL;FOREG;NEG;3	0
会う	お目にかかれ	V;FORM;HUMB;IMP;OBLIG	6,980,000
会う	お目にかかりな	V;FORM;HUMB;IMP;OBLIG;COL	5
会う	お目にかかりなさい	V;FORM;HUMB;IMP;OBLIG;POL	783
会う	お目にかかって	V;FORM;HUMB;IMP;COL	151,000
会う	お目にかかってください	V;FORM;HUMB;IMP;POL	29,100
会う	お目にかかるな	V;FORM;HUMB;IMP;OBLIG;NEG	731
会う	お目にかからないで	V;FORM;HUMB;IMP;NEG;COL	2,850
会う	お目にかからないでください	V;FORM;HUMB;IMP;POL;NEG	2
会う	お目にかかれる	V;FORM;HUMB;PRS;IPFV;POT	505,000
会う	お目にかかれない	V;FORM;HUMB;PRS;IPFV;POT;NEG	4,690,000
会う	お目にかかれます	V;FORM;HUMB;PRS;IPFV;POT;POL;FOREG	91,800
会う	お目にかかれません	V;FORM;HUMB;PRS;IPFV;POT;POL;FOREG;NEG	763,000
会う	お目にかかれた	V;FORM;HUMB;PST;PFV;POT	41,700
会う	お目にかかれなかった	V;FORM;HUMB;PST;PFV;POT;NEG	67,100
会う	お目にかかれました	V;FORM;HUMB;PST;PFV;POT;POL;FOREG	68,000
会う	お目にかかれませんでした	V;FORM;HUMB;PST;PFV;POT;POL;FOREG;NEG	132,000
会う	お目にかかられる	V;FORM;HUMB;PRS;IPFV;PASS	2,580
会う	お目にかかられない	V;FORM;HUMB;PRS;IPFV;PASS;NEG	15,900
会う	お目にかかられます	V;FORM;HUMB;PRS;IPFV;PASS;POL;FOREG	897
会う	お目にかかられません	V;FORM;HUMB;PRS;IPFV;PASS;POL;FOREG;NEG	8
会う	お目にかかられた	V;FORM;HUMB;PST;PFV;PASS	3,270
会う	お目にかかられなかった	V;FORM;HUMB;PST;PFV;PASS;NEG	7
会う	お目にかかられました	V;FORM;HUMB;PST;PFV;PASS;POL;FOREG	6
会う	お目にかかられませんでした	V;FORM;HUMB;PST;PFV;PASS;POL;FOREG;NEG	1
会う	お目にかからせる	V;FORM;HUMB;PRS;IPFV;CAUS	400
会う	お目にかからせない	V;FORM;HUMB;PRS;IPFV;CAUS;NEG	3
会う	お目にかからせます	V;FORM;HUMB;PRS;IPFV;CAUS;POL;FOREG	4
会う	お目にかからせません	V;FORM;HUMB;PRS;IPFV;CAUS;POL;FOREG;NEG	2
会う	お目にかからせた	V;FORM;HUMB;PST;PFV;CAUS	2
会う	お目にかからせなかった	V;FORM;HUMB;PST;PFV;CAUS;NEG	1
会う	お目にかからせました	V;FORM;HUMB;PST;PFV;CAUS;POL;FOREG	1
会う	お目にかからせませんでした	V;FORM;HUMB;PST;PFV;CAUS;POL;FOREG;NEG	0
会う	お目にかからす	V;FORM;HUMB;PRS;IPFV;CAUS	4
会う	お目にかからさない	V;FORM;HUMB;PRS;IPFV;CAUS;NEG	0
会う	お目にかからします	V;FORM;HUMB;PRS;IPFV;CAUS;POL;FOREG	0
会う	お目にかからしません	V;FORM;HUMB;PRS;IPFV;CAUS;POL;FOREG;NEG	0
会う	お目にかからした	V;FORM;HUMB;PST;PFV;CAUS	0
会う	お目にかからさなかった	V;FORM;HUMB;PST;PFV;CAUS;NEG	0
会う	お目にかからしました	V;FORM;HUMB;PST;PFV;CAUS;POL;FOREG	0
会う	お目にかからしませんでした	V;FORM;HUMB;PST;PFV;CAUS;POL;FOREG;NEG	0
会う	お目にかからせられる	V;FORM;HUMB;PRS;IPFV;CAUS;PASS	3
会う	お目にかからせられない	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;NEG	1
会う	お目にかからせられます	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;POL;FOREG	1
会う	お目にかからせられません	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	1
会う	お目にかからせられた	V;FORM;HUMB;PST;PFV;CAUS;PASS	0
会う	お目にかからせられなかった	V;FORM;HUMB;PST;PFV;CAUS;PASS;NEG	0
会う	お目にかからせられました	V;FORM;HUMB;PST;PFV;CAUS;PASS;POL;FOREG	0
会う	お目にかからせられませんでした	V;FORM;HUMB;PST;PFV;CAUS;PASS;POL;FOREG;NEG	0
会う	お目にかからされる	V;FORM;HUMB;PRS;IPFV;CAUS;PASS	1
会う	お目にかからされない	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;NEG	1
会う	お目にかからされます	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;POL;FOREG	0
会う	お目にかからされません	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	0
会う	お目にかからされた	V;FORM;HUMB;PST;PFV;CAUS;PASS	0
会う	お目にかからされなかった	V;FORM;HUMB;PST;PFV;CAUS;PASS;NEG	1
会う	お目にかからされました	V;FORM;HUMB;PST;PFV;CAUS;PASS;POL;FOREG	0
会う	お目にかからされませんでした	V;FORM;HUMB;PST;PFV;CAUS;PASS;POL;FOREG;NEG	0
開く	開く	V;PRS;IPFV	326,000,000
開く	開かない	V;PRS;IPFV;NEG	16,500,000
開く	開かないです	V;PRS;IPFV;POL;NEG;COL	3,870,000
開く	開きます	V;PRS;IPFV;POL;FOREG	132,000,000
開く	開きません	V;PRS;IPFV;POL;FOREG;NEG	4,390,000
開く	開くだろう	V;PRS;IPFV;PROSP	127,000
開く	開かないだろう	V;PRS;IPFV;PROSP;NEG	215,000
開く	開くでしょう	V;PRS;IPFV;PROSP;POL	478,000
開く	開かないでしょう	V;PRS;IPFV;PROSP;POL;NEG	430,000
開く	開いた	V;PST;PFV	47,600,000
開く	開かなかった	V;PST;PFV;NEG	724,000
開く	開きました	V;PST;PFV;POL;FOREG	4,700,000
開く	開きませんでした	V;PST;PFV;POL;FOREG;NEG	3,770,000
開く	開いただろう	V;PST;PFV;PROSP	22,500
開く	開かなかっただろう	V;PST;PFV;PROSP;NEG	23,800
開く	開いたでしょう	V;PST;PFV;PROSP;POL	428,000
開く	開かなかったでしょう	V;PST;PFV;PROSP;POL;NEG	14,000
開く	開こう	V;INTEN	8,000,000
開く	開きましょう	V;INTEN;POL;FOREG	862,000
開く	開きたい	V;PRS;IPFV;OPT;1	1,330,000
開く	開きたくない	V;PRS;IPFV;OPT;NEG;1	301,000
開く	開きたいです	V;PRS;IPFV;OPT;POL;1	299,000
開く	開きたくないです	V;PRS;IPFV;OPT;POL;NEG;1	164,000
開く	開きたかった	V;PST;PFV;OPT;1	155,000
開く	開きたくなかった	V;PST;PFV;OPT;NEG;1	18,600
開く	開きたかったです	V;PST;PFV;OPT;POL;1	2,000
開く	開きたくなかったです	V;PST;PFV;OPT;POL;NEG;1	9
開く	開きたがる	V;PRS;IPFV;OPT;3	55,100
開く	開きたがらない	V;PRS;IPFV;OPT;NEG;3	3,210
開く	開きたがります	V;PRS;IPFV;OPT;POL;FOREG;3	7,650
開く	開きたがりません	V;PRS;IPFV;OPT;POL;FOREG;NEG;3	121
開く	開きたがった	V;PST;PFV;OPT;3	213
開く	開きたがらなかった	V;PST;PFV;OPT;NEG;3	988
開く	開きたがりました	V;PST;PFV;OPT;POL;FOREG;3	157
開く	開きたがりませんでした	V;PST;PFV;OPT;POL;FOREG;NEG;3	8
開く	開け	V;IMP;OBLIG	240,000,000
開く	開きな	V;IMP;OBLIG;COL	413,000
開く	開きなさい	V;IMP;OBLIG;POL	126,000
開く	開いて	V;IMP;COL	82,200,000
開く	開いてください	V;IMP;POL	36,200,000
開く	お開きください	V;FORM;IMP;POL	114,000
開く	開くな	V;IMP;OBLIG;NEG	330,000
開く	開かないで	V;IMP;NEG;COL	1,840,000
開く	開かないでください	V;IMP;POL;NEG	1,360,000
開く	お開きにならないでください	V;FORM;IMP;POL;NEG	5
開く	開ける	V;PRS;IPFV;POT	59,900,000
開く	開けない	V;PRS;IPFV;POT;NEG	13,300,000
開く	開けます	V;PRS;IPFV;POT;POL;FOREG	5,280,000
開く	開けません	V;PRS;IPFV;POT;POL;FOREG;NEG	1,250,000
開く	開けた	V;PST;PFV;POT	53,400,000
開く	開けなかった	V;PST;PFV;POT;NEG	1,360,000
開く	開けました	V;PST;PFV;POT;POL;FOREG	6,280,000
開く	開けませんでした	V;PST;PFV;POT;POL;FOREG;NEG	1,430,000
開く	開かれる	V;PRS;IPFV;PASS	13,500,000
開く	開かれない	V;PRS;IPFV;PASS;NEG	141,000
開く	開かれます	V;PRS;IPFV;PASS;POL;FOREG	4,610,000
開く	開かれません	V;PRS;IPFV;PASS;POL;FOREG;NEG	194,000
開く	開かれた	V;PST;PFV;PASS	28,000,000
開く	開かれなかった	V;PST;PFV;PASS;NEG	183,000
開く	開かれました	V;PST;PFV;PASS;POL;FOREG	4,080,000
開く	開かれませんでした	V;PST;PFV;PASS;POL;FOREG;NEG	66,300
開く	開かれる	V;PRS;IPFV;ELEV	13,500,000
開く	開かれない	V;PRS;IPFV;ELEV;NEG	141,000
開く	開かれます	V;PRS;IPFV;ELEV;POL;FOREG	4,610,000
開く	開かれません	V;PRS;IPFV;ELEV;POL;FOREG;NEG	194,000
開く	開かれた	V;PST;PFV;ELEV	28,000,000
開く	開かれなかった	V;PST;PFV;ELEV;NEG	183,000
開く	開かれました	V;PST;PFV;ELEV;POL;FOREG	4,080,000
開く	開かれませんでした	V;PST;PFV;ELEV;POL;FOREG;NEG	66,300
開く	開かせる	V;PRS;IPFV;CAUS	2,110,000
開く	開かせない	V;PRS;IPFV;CAUS;NEG	321,000
開く	開かせます	V;PRS;IPFV;CAUS;POL;FOREG	44,900
開く	開かせません	V;PRS;IPFV;CAUS;POL;FOREG;NEG	11,900
開く	開かせた	V;PST;PFV;CAUS	556,000
開く	開かせなかった	V;PST;PFV;CAUS;NEG	7,530
開く	開かせました	V;PST;PFV;CAUS;POL;FOREG	53,300
開く	開かせませんでした	V;PST;PFV;CAUS;POL;FOREG;NEG	1,050
開く	開かす	V;PRS;IPFV;CAUS	7,440
開く	開かさない	V;PRS;IPFV;CAUS;NEG	33,200
開く	開かします	V;PRS;IPFV;CAUS;POL;FOREG	11,800
開く	開かしません	V;PRS;IPFV;CAUS;POL;FOREG;NEG	97
開く	開かした	V;PST;PFV;CAUS	3,530
開く	開かさなかった	V;PST;PFV;CAUS;NEG	126
開く	開かしました	V;PST;PFV;CAUS;POL;FOREG	102
開く	開かしませんでした	V;PST;PFV;CAUS;POL;FOREG;NEG	4
開く	開かせられる	V;PRS;IPFV;CAUS;PASS	36,000
開く	開かせられない	V;PRS;IPFV;CAUS;PASS;NEG	8,080
開く	開かせられます	V;PRS;IPFV;CAUS;PASS;POL;FOREG	23,000
開く	開かせられません	V;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	10
開く	開かせられた	V;PST;PFV;CAUS;PASS	37,800
開く	開かせられなかった	V;PST;PFV;CAUS;PASS;NEG	3,610
開く	開かせられました	V;PST;PFV;CAUS;PASS;POL;FOREG	3,830
開く	開かせられませんでした	V;PST;PFV;CAUS;PASS;POL;FOREG;NEG	2
開く	開かされる	V;PRS;IPFV;CAUS;PASS	304,000
開く	開かされない	V;PRS;IPFV;CAUS;PASS;NEG	972
開く	開かされます	V;PRS;IPFV;CAUS;PASS;POL;FOREG	87,800
開く	開かされません	V;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	9
開く	開かされた	V;PST;PFV;CAUS;PASS	345,000
開く	開かされなかった	V;PST;PFV;CAUS;PASS;NEG	3,370
開く	開かされました	V;PST;PFV;CAUS;PASS;POL;FOREG	107,000
開く	開かされませんでした	V;PST;PFV;CAUS;PASS;POL;FOREG;NEG	7
開く	お開きになる	V;FORM;ELEV;PRS;IPFV	125,000
開く	お開きにならない	V;FORM;ELEV;PRS;IPFV;NEG	25,000
開く	お開きになります	V;FORM;ELEV;PRS;IPFV;POL;FOREG	59,400
開く	お開きになりません	V;FORM;ELEV;PRS;IPFV;POL;FOREG;NEG	15,400
開く	お開きになった	V;FORM;ELEV;PST;PFV	135,000
開く	お開きにならなかった	V;FORM;ELEV;PST;PFV;NEG	5,680
開く	お開きになりました	V;FORM;ELEV;PST;PFV;POL;FOREG	72,600
開く	お開きになりませんでした	V;FORM;ELEV;PST;PFV;POL;FOREG;NEG	9,540
開く	お開きする	V;FORM;HUMB;PRS;IPFV	3,860
開く	お開きしない	V;FORM;HUMB;PRS;IPFV;NEG	126
開く	お開きします	V;FORM;HUMB;PRS;IPFV;POL;FOREG	2,670
開く	お開きしません	V;FORM;HUMB;PRS;IPFV;POL;FOREG;NEG	396
開く	お開きした	V;FORM;HUMB;PST;PFV	11,300
開く	お開きしなかった	V;FORM;HUMB;PST;PFV;NEG	2
開く	お開きしました	V;FORM;HUMB;PST;PFV;POL;FOREG	3,250
開く	お開きしませんでした	V;FORM;HUMB;PST;PFV;POL;FOREG;NEG	3
開く	開かせていただく	V;FORM;HUMB;PRS;IPFV;PERM	291,000
開く	開かせていただかない	V;FORM;HUMB;PRS;IPFV;NEG;PERM	5
開く	開かせていただきます	V;FORM;HUMB;PRS;IPFV;POL;FOREG;PERM	545,000
開く	開かせていただきません	V;FORM;HUMB;PRS;IPFV;POL;FOREG;NEG;PERM	0
開く	開かせていただいた	V;FORM;HUMB;PST;PFV;PERM	238,000
開く	開かせていただかなかった	V;FORM;HUMB;PST;PFV;NEG;PERM	0
開く	開かせていただきました	V;FORM;HUMB;PST;PFV;POL;FOREG;PERM	273,000
開く	開かせていただきませんでした	V;FORM;HUMB;PST;PFV;POL;FOREG;NEG;PERM	0
開ける	開ける	V;PRS;IPFV	59,900,000
開ける	開けない	V;PRS;IPFV;NEG	13,300,000
開ける	開けないです	V;PRS;IPFV;POL;NEG;COL	1,890,000
開ける	開けます	V;PRS;IPFV;POL;FOREG	5,280,000
開ける	開けません	V;PRS;IPFV;POL;FOREG;NEG	1,250,000
開ける	開けるだろう	V;PRS;IPFV;PROSP	80,700
開ける	開けないだろう	V;PRS;IPFV;PROSP;NEG	128,000
開ける	開けるでしょう	V;PRS;IPFV;PROSP;POL	569,000
開ける	開けないでしょう	V;PRS;IPFV;PROSP;POL;NEG	278,000
開ける	開けた	V;PST;PFV	53,400,000
開ける	開けなかった	V;PST;PFV;NEG	1,360,000
開ける	開けました	V;PST;PFV;POL;FOREG	6,280,000
開ける	開けませんでした	V;PST;PFV;POL;FOREG;NEG	1,430,000
開ける	開けただろう	V;PST;PFV;PROSP	50,600
開ける	開けなかっただろう	V;PST;PFV;PROSP;NEG	1,830
開ける	開けたでしょう	V;PST;PFV;PROSP;POL	305,000
開ける	開けなかったでしょう	V;PST;PFV;PROSP;POL;NEG	6,610
開ける	開けよう	V;INTEN	9,070,000
開ける	開けましょう	V;INTEN;POL;FOREG	854,000
開ける	開けたい	V;PRS;IPFV;OPT;1	2,460,000
開ける	開けたくない	V;PRS;IPFV;OPT;NEG;1	3,310,000
開ける	開けたいです	V;PRS;IPFV;OPT;POL;1	868,000
開ける	開けたくないです	V;PRS;IPFV;OPT;POL;NEG;1	119,000
開ける	開けたかった	V;PST;PFV;OPT;1	818,000
開ける	開けたくなかった	V;PST;PFV;OPT;NEG;1	1,960,000
開ける	開けたかったです	V;PST;PFV;OPT;POL;1	56,400
開ける	開けたくなかったです	V;PST;PFV;OPT;POL;NEG;1	149,000
開ける	開けたがる	V;PRS;IPFV;OPT;3	748,000
開ける	開けたがらない	V;PRS;IPFV;OPT;NEG;3	86,600
開ける	開けたがります	V;PRS;IPFV;OPT;POL;FOREG;3	328,000
開ける	開けたがりません	V;PRS;IPFV;OPT;POL;FOREG;NEG;3	7,280
開ける	開けたがった	V;PST;PFV;OPT;3	44,200
開ける	開けたがらなかった	V;PST;PFV;OPT;NEG;3	346
開ける	開けたがりました	V;PST;PFV;OPT;POL;FOREG;3	4,230
開ける	開けたがりませんでした	V;PST;PFV;OPT;POL;FOREG;NEG;3	5
開ける	開けろ	V;IMP;OBLIG	508,000
開ける	開けな	V;IMP;OBLIG;COL	332,000
開ける	開けなさい	V;IMP;OBLIG;POL	246,000
開ける	開けて	V;IMP;COL	48,700,000
開ける	開けてください	V;IMP;POL	33,500,000
開ける	お開けください	V;FORM;IMP;POL	74,300
開ける	開けるな	V;IMP;OBLIG;NEG	447,000
開ける	開けないで	V;IMP;NEG;COL	5,770,000
