lemma	inflected	label	hits	lemma_hiragana	inflected_hiragana	lemma_roman	inflected_roman
会う	お会いになります	V;FORM;ELEV;PRS;IPFV;POL;FOREG	430000	あう	おあいになります	au	oaininarimasu
会う	お会いになりません	V;FORM;ELEV;PRS;IPFV;POL;FOREG;NEG	106000	あう	おあいになりません	au	oaininarimasen
会う	お会いになった	V;FORM;ELEV;PST;PFV	502000	あう	おあいになった	au	oaininatta
会う	お会いにならなかった	V;FORM;ELEV;PST;PFV;NEG	23000	あう	おあいにならなかった	au	oaininaranakatta
会う	お会いになりました	V;FORM;ELEV;PST;PFV;POL;FOREG	449000	あう	おあいになりました	au	oaininarimashita
会う	お会いになりませんでした	V;FORM;ELEV;PST;PFV;POL;FOREG;NEG	80900	あう	おあいになりませんでした	au	oaininarimasendeshita
会う	お会いする	V;FORM;HUMB;PRS;IPFV	6220000	あう	おあいする	au	oaisuru
会う	お会いしない	V;FORM;HUMB;PRS;IPFV;NEG	41100	あう	おあいしない	au	oaishinai
会う	お会いします	V;FORM;HUMB;PRS;IPFV;POL;FOREG	5970000	あう	おあいします	au	oaishimasu
会う	お会いしません	V;FORM;HUMB;PRS;IPFV;POL;FOREG;NEG	342000	あう	おあいしません	au	oaishimasen
会う	お会いした	V;FORM;HUMB;PST;PFV	10200000	あう	おあいした	au	oaishita
会う	お会いしなかった	V;FORM;HUMB;PST;PFV;NEG	92000	あう	おあいしなかった	au	oaishinakatta
会う	お会いしました	V;FORM;HUMB;PST;PFV;POL;FOREG	7580000	あう	おあいしました	au	oaishimashita
会う	お会いしませんでした	V;FORM;HUMB;PST;PFV;POL;FOREG;NEG	55200	あう	おあいしませんでした	au	oaishimasendeshita
会う	会わせていただく	V;FORM;HUMB;PRS;IPFV;PERM	52500	あう	あわせていただく	au	awaseteitadaku
会う	会わせていただかない	V;FORM;HUMB;PRS;IPFV;NEG;PERM	9	あう	あわせていただかない	au	awaseteitadakanai
会う	会わせていただきます	V;FORM;HUMB;PRS;IPFV;POL;FOREG;PERM	87500	あう	あわせていただきます	au	awaseteitadakimasu
会う	会わせていただきません	V;FORM;HUMB;PRS;IPFV;POL;FOREG;NEG;PERM	8	あう	あわせていただきません	au	awaseteitadakimasen
会う	会わせていただいた	V;FORM;HUMB;PST;PFV;PERM	66100	あう	あわせていただいた	au	awaseteitadaita
会う	会わせていただかなかった	V;FORM;HUMB;PST;PFV;NEG;PERM	0	あう	あわせていただかなかった	au	awaseteitadakanakatta
会う	会わせていただきました	V;FORM;HUMB;PST;PFV;POL;FOREG;PERM	104000	あう	あわせていただきました	au	awaseteitadakimashita
会う	会わせていただきませんでした	V;FORM;HUMB;PST;PFV;POL;FOREG;NEG;PERM	0	あう	あわせていただきませんでした	au	awaseteitadakimasendeshita
会う	お目にかかる	V;FORM;HUMB;PRS;IPFV	1540000	あう	おめにかかる	au	omenikakaru
会う	お目にかからない	V;FORM;HUMB;PRS;IPFV;NEG	818000	あう	おめにかからない	au	omenikakaranai
会う	お目にかからないです	V;FORM;HUMB;PRS;IPFV;POL;NEG;COL	11000	あう	おめにかからないです	au	omenikakaranaidesu
会う	お目にかかります	V;FORM;HUMB;PRS;IPFV;POL;FOREG	184000	あう	おめにかかります	au	omenikakarimasu
会う	お目にかかりません	V;FORM;HUMB;PRS;IPFV;POL;FOREG;NEG	137000	あう	おめにかかりません	au	omenikakarimasen
会う	お目にかかるだろう	V;FORM;HUMB;PRS;IPFV;PROSP	430	あう	おめにかかるだろう	au	omenikakarudarou
会う	お目にかからないだろう	V;FORM;HUMB;PRS;IPFV;PROSP;NEG	674	あう	おめにかからないだろう	au	omenikakaranaidarou
会う	お目にかかるでしょう	V;FORM;HUMB;PRS;IPFV;PROSP;POL	654	あう	おめにかかるでしょう	au	omenikakarudeshou
会う	お目にかからないでしょう	V;FORM;HUMB;PRS;IPFV;PROSP;POL;NEG	12800	あう	おめにかからないでしょう	au	omenikakaranaideshou
会う	お目にかかった	V;FORM;HUMB;PST;PFV	402000	あう	おめにかかった	au	omenikakatta
会う	お目にかからなかった	V;FORM;HUMB;PST;PFV;NEG	12000	あう	おめにかからなかった	au	omenikakaranakatta
会う	お目にかからなかったです	V;FORM;HUMB;PST;PFV;POL;NEG;COL	2510	あう	おめにかからなかったです	au	omenikakaranakattadesu
会う	お目にかかりました	V;FORM;HUMB;PST;PFV;POL;FOREG	105000	あう	おめにかかりました	au	omenikakarimashita
会う	お目にかかりませんでした	V;FORM;HUMB;PST;PFV;POL;FOREG;NEG	15000	あう	おめにかかりませんでした	au	omenikakarimasendeshita
会う	お目にかかっただろう	V;FORM;HUMB;PST;PFV;PROSP	76	あう	おめにかかっただろう	au	omenikakattadarou
会う	お目にかからなかっただろう	V;FORM;HUMB;PST;PFV;PROSP;NEG	6	あう	おめにかからなかっただろう	au	omenikakaranakattadarou
会う	お目にかかったでしょう	V;FORM;HUMB;PST;PFV;PROSP;POL	10	あう	おめにかかったでしょう	au	omenikakattadeshou
会う	お目にかからなかったでしょう	V;FORM;HUMB;PST;PFV;PROSP;POL;NEG	2	あう	おめにかからなかったでしょう	au	omenikakaranakattadeshou
会う	お目にかかろう	V;FORM;HUMB;INTEN	7150	あう	おめにかかろう	au	omenikakarou
会う	お目にかかりましょう	V;FORM;HUMB;INTEN;POL;FOREG	25900	あう	おめにかかりましょう	au	omenikakarimashou
会う	お目にかかりたい	V;FORM;HUMB;PRS;IPFV;OPT;1	117000	あう	おめにかかりたい	au	omenikakaritai
会う	お目にかかりたくない	V;FORM;HUMB;PRS;IPFV;OPT;NEG;1	3560	あう	おめにかかりたくない	au	omenikakaritakunai
会う	お目にかかりたいです	V;FORM;HUMB;PRS;IPFV;OPT;POL;1	28700	あう	おめにかかりたいです	au	omenikakaritaidesu
会う	お目にかかりたくないです	V;FORM;HUMB;PRS;IPFV;OPT;POL;NEG;1	2120	あう	おめにかかりたくないです	au	omenikakaritakunaidesu
会う	お目にかかりたかった	V;FORM;HUMB;PST;PFV;OPT;1	9380	あう	おめにかかりたかった	au	omenikakaritakatta
会う	お目にかかりたくなかった	V;FORM;HUMB;PST;PFV;OPT;NEG;1	1460	あう	おめにかかりたくなかった	au	omenikakaritakunakatta
会う	お目にかかりたかったです	V;FORM;HUMB;PST;PFV;OPT;POL;1	4610	あう	おめにかかりたかったです	au	omenikakaritakattadesu
会う	お目にかかりたくなかったです	V;FORM;HUMB;PST;PFV;OPT;POL;NEG;1	1	あう	おめにかかりたくなかったです	au	omenikakaritakunakattadesu
会う	お目にかかりたがる	V;FORM;HUMB;PRS;IPFV;OPT;3	1	あう	おめにかかりたがる	au	omenikakaritagaru
会う	お目にかかりたがらない	V;FORM;HUMB;PRS;IPFV;OPT;NEG;3	0	あう	おめにかかりたがらない	au	omenikakaritagaranai
会う	お目にかかりたがります	V;FORM;HUMB;PRS;IPFV;OPT;POL;FOREG;3	0	あう	おめにかかりたがります	au	omenikakaritagarimasu
会う	お目にかかりたがりません	V;FORM;HUMB;PRS;IPFV;OPT;POL;FOREG;NEG;3	0	あう	おめにかかりたがりません	au	omenikakaritagarimasen
会う	お目にかかりたがった	V;FORM;HUMB;PST;PFV;OPT;3	1	あう	おめにかかりたがった	au	omenikakaritagatta
会う	お目にかかりたがらなかった	V;FORM;HUMB;PST;PFV;OPT;NEG;3	0	あう	おめにかかりたがらなかった	au	omenikakaritagaranakatta
会う	お目にかかりたがりました	V;FORM;HUMB;PST;PFV;OPT;POL;FOREG;3	0	あう	おめにかかりたがりました	au	omenikakaritagarimashita
会う	お目にかかりたがりませんでした	V;FORM;HUMB;PST;PFV;OPT;POL;FOREG;NEG;3	0	あう	おめにかかりたがりませんでした	au	omenikakaritagarimasendeshita
会う	お目にかかれ	V;FORM;HUMB;IMP;OBLIG	6980000	あう	おめにかかれ	au	omenikakare
会う	お目にかかりな	V;FORM;HUMB;IMP;OBLIG;COL	5	あう	おめにかかりな	au	omenikakarina
会う	お目にかかりなさい	V;FORM;HUMB;IMP;OBLIG;POL	783	あう	おめにかかりなさい	au	omenikakarinasai
会う	お目にかかって	V;FORM;HUMB;IMP;COL	151000	あう	おめにかかって	au	omenikakatte
会う	お目にかかってください	V;FORM;HUMB;IMP;POL	29100	あう	おめにかかってください	au	omenikakattekudasai
会う	お目にかかるな	V;FORM;HUMB;IMP;OBLIG;NEG	731	あう	おめにかかるな	au	omenikakaruna
会う	お目にかからないで	V;FORM;HUMB;IMP;NEG;COL	2850	あう	おめにかからないで	au	omenikakaranaide
会う	お目にかからないでください	V;FORM;HUMB;IMP;POL;NEG	2	あう	おめにかからないでください	au	omenikakaranaidekudasai
会う	お目にかかれる	V;FORM;HUMB;PRS;IPFV;POT	505000	あう	おめにかかれる	au	omenikakareru
会う	お目にかかれない	V;FORM;HUMB;PRS;IPFV;POT;NEG	4690000	あう	おめにかかれない	au	omenikakarenai
会う	お目にかかれます	V;FORM;HUMB;PRS;IPFV;POT;POL;FOREG	91800	あう	おめにかかれます	au	omenikakaremasu
会う	お目にかかれません	V;FORM;HUMB;PRS;IPFV;POT;POL;FOREG;NEG	763000	あう	おめにかかれません	au	omenikakaremasen
会う	お目にかかれた	V;FORM;HUMB;PST;PFV;POT	41700	あう	おめにかかれた	au	omenikakareta
会う	お目にかかれなかった	V;FORM;HUMB;PST;PFV;POT;NEG	67100	あう	おめにかかれなかった	au	omenikakarenakatta
会う	お目にかかれました	V;FORM;HUMB;PST;PFV;POT;POL;FOREG	68000	あう	おめにかかれました	au	omenikakaremashita
会う	お目にかかれませんでした	V;FORM;HUMB;PST;PFV;POT;POL;FOREG;NEG	132000	あう	おめにかかれませんでした	au	omenikakaremasendeshita
会う	お目にかかられる	V;FORM;HUMB;PRS;IPFV;PASS	2580	あう	おめにかかられる	au	omenikakarareru
会う	お目にかかられない	V;FORM;HUMB;PRS;IPFV;PASS;NEG	15900	あう	おめにかかられない	au	omenikakararenai
会う	お目にかかられます	V;FORM;HUMB;PRS;IPFV;PASS;POL;FOREG	897	あう	おめにかかられます	au	omenikakararemasu
会う	お目にかかられません	V;FORM;HUMB;PRS;IPFV;PASS;POL;FOREG;NEG	8	あう	おめにかかられません	au	omenikakararemasen
会う	お目にかかられた	V;FORM;HUMB;PST;PFV;PASS	3270	あう	おめにかかられた	au	omenikakarareta
会う	お目にかかられなかった	V;FORM;HUMB;PST;PFV;PASS;NEG	7	あう	おめにかかられなかった	au	omenikakararenakatta
会う	お目にかかられました	V;FORM;HUMB;PST;PFV;PASS;POL;FOREG	6	あう	おめにかかられました	au	omenikakararemashita
会う	お目にかかられませんでした	V;FORM;HUMB;PST;PFV;PASS;POL;FOREG;NEG	1	あう	おめにかかられませんでした	au	omenikakararemasendeshita
会う	お目にかからせる	V;FORM;HUMB;PRS;IPFV;CAUS	400	あう	おめにかからせる	au	omenikakaraseru
会う	お目にかからせない	V;FORM;HUMB;PRS;IPFV;CAUS;NEG	3	あう	おめにかからせない	au	omenikakarasenai
会う	お目にかからせます	V;FORM;HUMB;PRS;IPFV;CAUS;POL;FOREG	4	あう	おめにかからせます	au	omenikakarasemasu
会う	お目にかからせません	V;FORM;HUMB;PRS;IPFV;CAUS;POL;FOREG;NEG	2	あう	おめにかからせません	au	omenikakarasemasen
会う	お目にかからせた	V;FORM;HUMB;PST;PFV;CAUS	2	あう	おめにかからせた	au	omenikakaraseta
会う	お目にかからせなかった	V;FORM;HUMB;PST;PFV;CAUS;NEG	1	あう	おめにかからせなかった	au	omenikakarasenakatta
会う	お目にかからせました	V;FORM;HUMB;PST;PFV;CAUS;POL;FOREG	1	あう	おめにかからせました	au	omenikakarasemashita
会う	お目にかからせませんでした	V;FORM;HUMB;PST;PFV;CAUS;POL;FOREG;NEG	0	あう	おめにかからせませんでした	au	omenikakarasemasendeshita
会う	お目にかからす	V;FORM;HUMB;PRS;IPFV;CAUS	4	あう	おめにかからす	au	omenikakarasu
会う	お目にかからさない	V;FORM;HUMB;PRS;IPFV;CAUS;NEG	0	あう	おめにかからさない	au	omenikakarasanai
会う	お目にかからします	V;FORM;HUMB;PRS;IPFV;CAUS;POL;FOREG	0	あう	おめにかからします	au	omenikakarashimasu
会う	お目にかからしません	V;FORM;HUMB;PRS;IPFV;CAUS;POL;FOREG;NEG	0	あう	おめにかからしません	au	omenikakarashimasen
会う	お目にかからした	V;FORM;HUMB;PST;PFV;CAUS	0	あう	おめにかからした	au	omenikakarashita
会う	お目にかからさなかった	V;FORM;HUMB;PST;PFV;CAUS;NEG	0	あう	おめにかからさなかった	au	omenikakarasanakatta
会う	お目にかからしました	V;FORM;HUMB;PST;PFV;CAUS;POL;FOREG	0	あう	おめにかからしました	au	omenikakarashimashita
会う	お目にかからしませんでした	V;FORM;HUMB;PST;PFV;CAUS;POL;FOREG;NEG	0	あう	おめにかからしませんでした	au	omenikakarashimasendeshita
会う	お目にかからせられる	V;FORM;HUMB;PRS;IPFV;CAUS;PASS	3	あう	おめにかからせられる	au	omenikakaraserareru
会う	お目にかからせられない	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;NEG	1	あう	おめにかからせられない	au	omenikakaraserarenai
会う	お目にかからせられます	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;POL;FOREG	1	あう	おめにかからせられます	au	omenikakaraseraremasu
会う	お目にかからせられません	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	1	あう	おめにかからせられません	au	omenikakaraseraremasen
会う	お目にかからせられた	V;FORM;HUMB;PST;PFV;CAUS;PASS	0	あう	おめにかからせられた	au	omenikakaraserareta
会う	お目にかからせられなかった	V;FORM;HUMB;PST;PFV;CAUS;PASS;NEG	0	あう	おめにかからせられなかった	au	omenikakaraserarenakatta
会う	お目にかからせられました	V;FORM;HUMB;PST;PFV;CAUS;PASS;POL;FOREG	0	あう	おめにかからせられました	au	omenikakaraseraremashita
会う	お目にかからせられませんでした	V;FORM;HUMB;PST;PFV;CAUS;PASS;POL;FOREG;NEG	0	あう	おめにかからせられませんでした	au	omenikakaraseraremasendeshita
会う	お目にかからされる	V;FORM;HUMB;PRS;IPFV;CAUS;PASS	1	あう	おめにかからされる	au	omenikakarasareru
会う	お目にかからされない	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;NEG	1	あう	おめにかからされない	au	omenikakarasarenai
会う	お目にかからされます	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;POL;FOREG	0	あう	おめにかからされます	au	omenikakarasaremasu
会う	お目にかからされません	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	0	あう	おめにかからされません	au	omenikakarasaremasen
会う	お目にかからされた	V;FORM;HUMB;PST;PFV;CAUS;PASS	0	あう	おめにかからされた	au	omenikakarasareta
会う	お目にかからされなかった	V;FORM;HUMB;PST;PFV;CAUS;PASS;NEG	1	あう	おめにかからされなかった	au	omenikakarasarenakatta
会う	お目にかからされました	V;FORM;HUMB;PST;PFV;CAUS;PASS;POL;FOREG	0	あう	おめにかからされました	au	omenikakarasaremashita
会う	お目にかからされませんでした	V;FORM;HUMB;PST;PFV;CAUS;PASS;POL;FOREG;NEG	0	あう	おめにかからされませんでした	au	omenikakarasaremasendeshita
開く	開く	V;PRS;IPFV	326000000	あく	あく	aku	aku
開く	開かない	V;PRS;IPFV;NEG	16500000	あく	あかない	aku	akanai
開く	開かないです	V;PRS;IPFV;POL;NEG;COL	3870000	あく	あかないです	aku	akanaidesu
開く	開きます	V;PRS;IPFV;POL;FOREG	132000000	あく	あきます	aku	akimasu
開く	開きません	V;PRS;IPFV;POL;FOREG;NEG	4390000	あく	あきません	aku	akimasen
開く	開くだろう	V;PRS;IPFV;PROSP	127000	あく	あくだろう	aku	akudarou
開く	開かないだろう	V;PRS;IPFV;PROSP;NEG	215000	あく	あかないだろう	aku	akanaidarou
開く	開くでしょう	V;PRS;IPFV;PROSP;POL	478000	あく	あくでしょう	aku	akudeshou
開く	開かないでしょう	V;PRS;IPFV;PROSP;POL;NEG	430000	あく	あかないでしょう	aku	akanaideshou
開く	開いた	V;PST;PFV	47600000	あく	あいた	aku	aita
開く	開かなかった	V;PST;PFV;NEG	724000	あく	あかなかった	aku	akanakatta
開く	開かなかったです	V;PST;PFV;POL;NEG;COL	2240000	あく	あかなかったです	aku	akanakattadesu
開く	開きました	V;PST;PFV;POL;FOREG	4700000	あく	あきました	aku	akimashita
開く	開きませんでした	V;PST;PFV;POL;FOREG;NEG	3770000	あく	あきませんでした	aku	akimasendeshita
開く	開いただろう	V;PST;PFV;PROSP	22500	あく	あいただろう	aku	aitadarou
開く	開かなかっただろう	V;PST;PFV;PROSP;NEG	23800	あく	あかなかっただろう	aku	akanakattadarou
開く	開いたでしょう	V;PST;PFV;PROSP;POL	428000	あく	あいたでしょう	aku	aitadeshou
開く	開かなかったでしょう	V;PST;PFV;PROSP;POL;NEG	14000	あく	あかなかったでしょう	aku	akanakattadeshou
開く	開こう	V;INTEN	8000000	あく	あこう	aku	akou
開く	開きましょう	V;INTEN;POL;FOREG	862000	あく	あきましょう	aku	akimashou
開く	開きたい	V;PRS;IPFV;OPT;1	1330000	あく	あきたい	aku	akitai
開く	開きたくない	V;PRS;IPFV;OPT;NEG;1	301000	あく	あきたくない	aku	akitakunai
開く	開きたいです	V;PRS;IPFV;OPT;POL;1	299000	あく	あきたいです	aku	akitaidesu
開く	開きたくないです	V;PRS;IPFV;OPT;POL;NEG;1	164000	あく	あきたくないです	aku	akitakunaidesu
開く	開きたかった	V;PST;PFV;OPT;1	155000	あく	あきたかった	aku	akitakatta
開く	開きたくなかった	V;PST;PFV;OPT;NEG;1	18600	あく	あきたくなかった	aku	akitakunakatta
